titel;kuerzel;slug;url;untertitel;kategorien;spielart_geschaetzt
Josef kennt sich nicht mehr aus;;josef-kennt-sich-nicht-mehr-aus;https://theaterverlag-arno-boas.de/stuecke/josef-kennt-sich-nicht-mehr-aus;Turbulenter Bauernschwank;Komödie;Abendfüllend
Kaltgestellt;;kaltgestellt;https://theaterverlag-arno-boas.de/stuecke/kaltgestellt;Tragikomödie, ausgezeichnet mit dem Oskarle;Tragikomödie;Abendfüllend
Katharina und das ewige Leben;;katharina-und-das-ewige-leben;https://theaterverlag-arno-boas.de/stuecke/katharina-und-das-ewige-leben;Himmlisch-höllisches Volksstück;Komödie, Tragikomödie;Abendfüllend
Kaufhaus zum Glück;;kaufhaus-zum-gluck;https://theaterverlag-arno-boas.de/stuecke/kaufhaus-zum-gluck;Komödie;Komödie;Abendfüllend
Killer im Doppelpack;;ein-killer-kommt-selten-allein;https://theaterverlag-arno-boas.de/stuecke/ein-killer-kommt-selten-allein;Schwarzhumorige Krimi-Komödie;Komödie, Krimi, Krimikomödie;Abendfüllend
Kinderwahnsinn;;kinderwahnsinn;https://theaterverlag-arno-boas.de/stuecke/kinderwahnsinn;Komödie (Einakter);Für Jugendliche;Einakter
Lauter Spinner;;lauter-spinner;https://theaterverlag-arno-boas.de/stuecke/lauter-spinner;Zeitkritisches ländliches Lustspiel;Komödie;Abendfüllend
Lied oder Gedicht;;lied-oder-gedicht;https://theaterverlag-arno-boas.de/stuecke/lied-oder-gedicht;Weihnachtskomödie;Weihnachten;Abendfüllend
Mach Dein Testament, Franz;;mach-dein-testament-franz;https://theaterverlag-arno-boas.de/stuecke/mach-dein-testament-franz;Schwank;Komödie;Abendfüllend
Magische Marken;;magische-marken;https://theaterverlag-arno-boas.de/stuecke/magische-marken;Modernes Märchen (Einakter);Für Jugendliche, Märchen;Einakter
Mann in der Mitte;;mann-in-der-mitte;https://theaterverlag-arno-boas.de/stuecke/mann-in-der-mitte;Komödie für Senioren;Komödie, Für Senioren;Abendfüllend
Matroschka;;matroschka;https://theaterverlag-arno-boas.de/stuecke/matroschka;Krimi-Komödie;Komödie, Krimi, Krimikomödie;Abendfüllend
Mein lieber Schwan;;mein-lieber-schwan;https://theaterverlag-arno-boas.de/stuecke/mein-lieber-schwan;Komödie;Komödie;Abendfüllend
Meister Lampe wird vermisst;;meister-lampe-wird-vermisst;https://theaterverlag-arno-boas.de/stuecke/meister-lampe-wird-vermisst;Kindertheaterstück von Klaus Tröbs, angelehnt an die Geschichte von Hase und Igel;Für Jugendliche;Abendfüllend
Millen ze verkaafen (Müllers Mühle);;millen-ze-verkaafen;https://theaterverlag-arno-boas.de/stuecke/millen-ze-verkaafen;Komödie von Christian Lange, in einer luxemburgischen Übersetzung von Georges Neuen;Komödie;Abendfüllend
Minderheitenschutz;;minderheitenschutz;https://theaterverlag-arno-boas.de/stuecke/minderheitenschutz;Visionär-groteske Komödie (Einakter);Tragikomödie;Einakter
Mit Himmelsmacht und Höllenfeuer;;mit-himmelsmacht-und-hollenfeuer;https://theaterverlag-arno-boas.de/stuecke/mit-himmelsmacht-und-hollenfeuer;Komödie;Komödie;Abendfüllend
Mit Ta-Tü-Trara zum Superstar;;mit-ta-tue-trara-zum-superstar;https://theaterverlag-arno-boas.de/stuecke/mit-ta-tue-trara-zum-superstar;Eine Komödie über eine aus dem Ruder laufende Casting-Show;Komödie;Abendfüllend
Mobbing – aber richtig;;mobbing-aber-richtig;https://theaterverlag-arno-boas.de/stuecke/mobbing-aber-richtig;Komödie über den täglichen Bürowahnsinn;Komödie;Abendfüllend
Mord im Moor;;mord-im-moor;https://theaterverlag-arno-boas.de/stuecke/mord-im-moor;Kriminalkomödie;Komödie, Krimi, Krimikomödie;Abendfüllend
Muggebatsche oum Mistbrialouch;;muggebatsche-oum-mistbrialouch;https://theaterverlag-arno-boas.de/stuecke/muggebatsche-oum-mistbrialouch;Zeitkritische Komödie / Lustspiel (Neuauflage);Komödie;Abendfüllend
Müllers Mühle;;mullers-muhle;https://theaterverlag-arno-boas.de/stuecke/mullers-muhle;Komödie;Komödie;Abendfüllend
Nala und die Reifeprüfung;;nala-und-die-reifepruefung;https://theaterverlag-arno-boas.de/stuecke/nala-und-die-reifepruefung;Modernes Märchen;Märchen;Abendfüllend
Netzwerkfehler;;netzwerkfehler;https://theaterverlag-arno-boas.de/stuecke/netzwerkfehler;Jugend-Komödie;Komödie, Für Jugendliche;Abendfüllend
Nidd woahr;;nidd-woahr;https://theaterverlag-arno-boas.de/stuecke/nidd-woahr;Komödie über die Wahrheit, und was wir darunter verstehen;Komödie;Abendfüllend
Nur eine Nummer;;nur-eine-nummer;https://theaterverlag-arno-boas.de/stuecke/nur-eine-nummer;Komödie;Komödie;Abendfüllend
Nussknacker und Compagnie;;nussknacker-und-compagnie;https://theaterverlag-arno-boas.de/stuecke/nussknacker-und-compagnie;Boulevard-Komödie;Komödie;Abendfüllend
Obacht Erbschleicher;;obacht-erbschleicher;https://theaterverlag-arno-boas.de/stuecke/obacht-erbschleicher;Komödie;Komödie;Abendfüllend
Onoldia oder Mein lieber Herr Gesangsverein;;onoldia-oder-mein-lieber-herr-gesangsverein;https://theaterverlag-arno-boas.de/stuecke/onoldia-oder-mein-lieber-herr-gesangsverein;Komödie (Einakter);Komödie;Einakter
